Date,Volume,Open,High,Low,Close,macd,macds,macdh
2020-10-28,8.3183,17.0,17.25,16.7,16.95,-0.006909359712960139,-0.12851472986844054,0.1216053701554804
2020-10-29,6.3,16.6,17.1,16.55,16.85,0.01606187994832098,-0.09959940790508823,0.1156612878534092
2020-10-30,6.3057,17.0,17.0,16.7,16.7,0.021910436606606964,-0.07529743900274918,0.09720787560935615
2020-11-02,4.814,16.7,16.75,16.6,16.6,0.01826573955419164,-0.05658480329136102,0.07485054284555266
2020-11-03,5.8,17.0,17.1,16.65,16.7,0.023179259076613334,-0.04063199081776615,0.06381124989437949
2020-11-04,3.6,17.0,17.0,16.7,16.85,0.038730543499287506,-0.02475948395435542,0.06349002745364293
2020-11-05,3.9,16.7,17.1,16.7,16.9,0.05446182851990855,-0.008915221459502624,0.06337704997941118
2020-11-06,5.3,17.2,17.2,16.8,16.8,0.05818905378085404,0.00450563358856871,0.05368342019228533
2020-11-09,8.2001,16.85,17.0,16.5,16.6,0.04449170543793812,0.012502847958442592,0.03198885747949553
2020-11-10,5.5001,16.75,16.85,16.7,16.8,0.04920755268564747,0.019843788903883566,0.029363763781763905
2020-11-11,39.6055,16.9,17.4,16.75,17.4,0.10020478283487222,0.035915987690081294,0.06428879514479093
2020-11-12,136.8,17.3,18.3,17.25,18.15,0.19884700266306865,0.06850219068467876,0.13034481197838987
2020-11-13,16.6,18.0,18.1,17.85,17.9,0.25392171047532486,0.10558609464280798,0.14833561583251686
2020-11-16,45.4,19.1,19.1,18.0,18.1,0.31013213157637765,0.1464953020295219,0.16363682954685574
2020-11-17,15.4,18.5,18.5,18.0,18.15,0.3546259699709182,0.18812143561780117,0.16650453435311705
2020-11-18,9.52,18.15,18.15,18.0,18.1,0.3814558892832096,0.22678832635088286,0.15466756293232675
2020-11-19,15.71,18.0,18.2,17.95,18.0,0.3901521976984448,0.25946110062039524,0.13069109707804955
2020-11-20,9.8,18.0,18.0,17.8,17.85,0.38055355389045786,0.2836795912744078,0.09687396261605008
2020-11-23,52.1187,17.85,18.85,17.85,18.8,0.4444799320592381,0.3158396594313738,0.12864027262786426
2020-11-24,346.6297,19.1,20.65,18.95,20.35,0.6131461265554705,0.37530095285619314,0.23784517369927738
2020-11-25,212.3356,20.05,20.9,19.65,20.5,0.7502703971544484,0.4502948417158442,0.2999755554386042
2020-11-26,127.3116,20.8,20.9,19.8,20.1,0.8172450205906365,0.5236848774908027,0.2935601430998338
2020-11-27,78.1288,20.1,20.8,20.1,20.3,0.8763590985467324,0.5942197217019887,0.28213937684474377
2020-11-30,105.9056,20.55,21.25,20.4,20.6,0.9366181727454155,0.662699411910674,0.2739187608347414
2020-12-01,68.179,20.7,21.45,20.7,21.1,1.013042026630476,0.7327679348546344,0.2802740917758416
2020-12-02,34.3799,21.1,21.2,20.7,20.75,1.0334533990289678,0.7929050276895011,0.24054837133946672
2020-12-03,32.4,20.65,20.7,20.3,20.4,1.0097477403778825,0.8362735702271774,0.1734741701507051
2020-12-04,79.6288,20.4,21.15,20.2,20.7,1.0035994580685923,0.8697387477954603,0.13386071027313196
2020-12-07,26.14,21.15,21.15,20.5,20.6,0.9793681889309056,0.8916646360225494,0.08770355290835619
2020-12-08,166.506,20.6,21.4,20.3,20.6,0.9492226853166983,0.9031762458813792,0.04604643943531905
2020-12-09,12.8489,20.85,20.85,20.4,20.5,0.9068098527378545,0.9039029672526743,0.002906885485180255
2020-12-10,30.3101,20.5,20.5,19.7,19.85,0.8113945582360493,0.8854012854493493,-0.07400672721329993
2020-12-11,32.9199,19.9,19.9,19.2,19.25,0.6795290761251067,0.8442268435845007,-0.16469776745939402
2020-12-14,20.22,19.25,19.5,18.9,19.3,0.5724603471079845,0.7898735442891975,-0.217413197181213
