Date,Open,High,Low,Close,Volume
2022-04-18 04:35:00,125.0651,125.0651,125.0651,125.0651,243
2022-04-18 07:05:00,124.9663,124.9663,124.9663,124.9663,458
2022-04-18 07:10:00,124.6699,124.9465,124.6699,124.9465,701
2022-04-18 08:05:00,125.2851,125.2851,124.4723,124.4723,2869
2022-04-18 08:40:00,125.3079,125.3079,125.3079,125.3079,100
2022-04-18 08:45:00,125.2132,125.2626,125.1293,125.1293,570
2022-04-18 09:05:00,125.233,125.233,125.233,125.233,300
2022-04-18 09:25:00,125.2626,125.2626,125.2626,125.2626,243
2022-04-18 09:30:00,125.2626,125.2626,125.2626,125.2626,607
2022-04-18 09:35:00,125.0651,125.6484,125.0651,125.4306,170939
2022-04-18 09:40:00,125.4602,125.8454,125.312,125.6281,54259
2022-04-18 09:45:00,125.5294,125.5936,125.0255,125.1836,115304
2022-04-18 09:50:00,125.2725,125.6676,125.2626,125.5294,45213
2022-04-18 09:55:00,125.5195,125.5541,125.2429,125.5294,49777
2022-04-18 10:00:00,125.5195,125.5195,125.1046,125.1836,57685
2022-04-18 10:05:00,125.1589,125.1589,124.8971,125.0206,133099
2022-04-18 10:10:00,125.0206,125.0206,124.5514,124.6304,65073
2022-04-18 10:15:00,124.5909,124.8675,124.5514,124.8082,114208
2022-04-18 10:20:00,124.7983,124.8378,124.4822,124.4822,126571
2022-04-18 10:25:00,124.4822,124.9169,124.384,124.7588,130577
2022-04-18 10:30:00,124.7786,124.9062,124.5711,124.7687,199976
2022-04-18 10:35:00,124.7687,125.4306,124.7489,125.3911,33339
2022-04-18 10:40:00,125.4405,125.5787,125.3812,125.4405,49834
2022-04-18 10:45:00,125.4405,125.4503,125.233,125.312,29812
2022-04-18 10:50:00,125.312,125.3713,125.0629,125.0629,31287
2022-04-18 10:55:00,125.0947,125.1046,124.9663,124.9712,25736
2022-04-18 11:00:00,124.9465,125.0453,124.7983,124.9564,34982
2022-04-18 11:05:00,124.9613,124.986,124.7094,124.8971,52866
2022-04-18 11:10:00,124.8774,124.8922,124.6995,124.7786,72148
2022-04-18 11:15:00,124.7786,125.0255,124.6799,125.0157,136589
2022-04-18 11:20:00,125.0354,125.154,124.8329,124.907,36426
2022-04-18 11:25:00,124.9317,124.9959,124.5761,124.5998,49942
2022-04-18 11:30:00,124.5847,124.6502,124.4822,124.6255,47362
2022-04-18 11:35:00,124.6181,124.7736,124.5834,124.605,44948
2022-04-18 11:40:00,124.6057,124.6057,124.4822,124.5317,50271
2022-04-18 11:45:00,124.5365,124.6403,124.4625,124.4934,44079
2022-04-18 11:50:00,124.4822,124.4921,124.0574,124.0969,62181
2022-04-18 11:55:00,124.092,124.4427,124.0772,124.4427,31221
2022-04-18 12:00:00,124.4822,124.5909,124.4328,124.5411,34389
2022-04-18 12:05:00,124.5217,124.6304,124.3933,124.3933,35445
2022-04-18 12:10:00,124.4131,124.5612,124.3439,124.3439,39112
2022-04-18 12:15:00,124.3538,124.3735,124.255,124.2896,25246
2022-04-18 12:20:00,124.2649,124.2649,124.1365,124.1513,28560
2022-04-18 12:25:00,124.1562,124.2845,124.1562,124.2155,19254
2022-04-18 12:30:00,124.267,124.2748,124.0969,124.1365,25747
2022-04-18 12:35:00,124.1414,124.1661,124.008,124.0229,28005
2022-04-18 12:40:00,124.0377,124.176,124.0377,124.176,19985
2022-04-18 12:45:00,124.1809,124.3438,124.0871,124.3438,50463
2022-04-18 12:50:00,124.3637,124.3834,124.0673,124.1019,79626
2022-04-18 12:55:00,124.1266,124.3735,124.1266,124.3538,58210
2022-04-18 13:00:00,124.3637,124.414,124.2649,124.334,47963
2022-04-18 13:05:00,124.334,124.3834,124.2155,124.2846,60546
2022-04-18 13:10:00,124.2896,124.3143,124.2254,124.3044,33859
2022-04-18 13:15:00,124.3192,124.502,124.3192,124.4229,25677
2022-04-18 13:20:00,124.3538,124.4229,124.1266,124.1957,67111
2022-04-18 13:25:00,124.2056,124.3933,124.1661,124.334,27488
2022-04-18 13:30:00,124.3192,124.4723,124.3143,124.4723,32267
2022-04-18 13:35:00,124.4723,124.6259,124.4514,124.6259,31470
2022-04-18 13:40:00,124.6205,124.8477,124.6205,124.823,41625
2022-04-18 13:45:00,124.8378,124.8985,124.7193,124.7193,43796
2022-04-18 13:50:00,124.7373,124.7588,124.6304,124.6995,25566
2022-04-18 13:55:00,124.6798,124.756,124.5909,124.7489,27784
2022-04-18 14:00:00,124.7885,124.986,124.7785,124.8082,53736
2022-04-18 14:05:00,124.8181,124.8971,124.5711,124.6699,64928
2022-04-18 14:10:00,124.6699,124.7736,124.66,124.744,28838
2022-04-18 14:15:00,124.7539,124.8576,124.7193,124.8477,35125
2022-04-18 14:20:00,124.843,124.907,124.6502,124.8181,34881
2022-04-18 14:25:00,124.7885,124.8971,124.7489,124.8971,23247
2022-04-18 14:30:00,124.907,124.9268,124.6502,124.7687,33532
2022-04-18 14:35:00,124.7588,124.8991,124.7391,124.8378,23960
2022-04-18 14:40:00,124.8477,124.9663,124.7885,124.8643,67348
2022-04-18 14:45:00,124.8971,124.9268,124.7539,124.8164,23869
